id;geom;collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;exact_matches;close_matches;status;source;comment
953;0101000020E6100000F7578FFB56905A404CC45BE7DF684040;courier;cou_813;HUANGBAYI Shaanxi (黄坝驿);http://linkedplaces.org/places/cou_813;HUANGBAYI Shaanxi (黄坝驿);106.255309;32.819333;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_972","names":["HUANGBAYI Shaanxi (黄坝驿)"]}];;Y;MDYZK;
954;0101000020E6100000280EA0DFF75B5A40DECA129D65E23C40;courier;cou_437;LUCHUANYI Sichuan (卢川驿);http://linkedplaces.org/places/cou_437;LUCHUANYI Sichuan (卢川驿);105.437004;28.884363;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9723","names":["LUCHUANYI Sichuan (卢川驿)"]}];;N;MDYZK;
955;0101000020E61000006C2409C21591594043739D465AE63B40;courier;cou_451;LUCHUANYI Sichuan (泸川驿);http://linkedplaces.org/places/cou_451;LUCHUANYI Sichuan (泸川驿);102.266953;27.899815;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9725","names":["LUCHUANYI Sichuan (泸川驿)"]}];;Y;MDYZK;
956;0101000020E6100000240B98C0AD9F5840B8B06EBC3B063940;courier;cou_293;TENGYUE Yunnan (腾越);http://linkedplaces.org/places/cou_293;TENGYUE Yunnan (腾越);98.49498;25.024349;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9750","names":["TENGYUE Yunnan (腾越)"]}];;Y;MDYZK;
957;0101000020E61000007D3CF4DDADCA58409FE40E9BC81C3940;courier;cou_292;YONGCHANG Yunnan (永昌);http://linkedplaces.org/places/cou_292;YONGCHANG Yunnan (永昌);99.166862;25.112436;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9751","names":["YONGCHANG Yunnan (永昌)"]}];;Y;MDYZK;
958;0101000020E61000007E9065C1C4135940D3F71A82E33A3940;courier;cou_295;MENGHUA Yunnan (蒙化);http://linkedplaces.org/places/cou_295;MENGHUA Yunnan (蒙化);100.308884;25.230034;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9752","names":["MENGHUA Yunnan (蒙化)"]}];;Y;MDYZK;
959;0101000020E610000080812040860A5940ED2AA4FCA4B23940;courier;cou_286;TAIHEYI Yunnan (太和驿);http://linkedplaces.org/places/cou_286;TAIHEYI Yunnan (太和驿);100.164444;25.69783;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9753","names":["TAIHEYI Yunnan (太和驿)"]}];;Y;MDYZK;
960;0101000020E61000006F0F4240BE6259400B9C6C0377083940;courier;cou_282;CHUXIONG Yunnan (楚雄);http://linkedplaces.org/places/cou_282;CHUXIONG Yunnan (楚雄);101.542862;25.033066;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9754","names":["CHUXIONG Yunnan (楚雄)"]}];;B;PA_1903;
961;0101000020E6100000E61E12BEF7435A4062821ABE850D3840;courier;cou_296;GUANGNAN Yunnan (广南);http://linkedplaces.org/places/cou_296;GUANGNAN Yunnan (广南);105.061996;24.052822;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9762","names":["GUANGNAN Yunnan (广南)"]}];;B;PA_1903;
962;0101000020E6100000357A354069805940BA85AE44A09A3740;courier;cou_272;YUANJIANG Yunnan (元江);http://linkedplaces.org/places/cou_272;YUANJIANG Yunnan (元江);102.006424;23.604008;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9764","names":["YUANJIANG Yunnan (元江)"]}];;B;PA_1903;
963;0101000020E6100000070951BEA0B45940C2A6CEA3E29F3740;courier;cou_275;LIN'ANFU Yunnan (临安);http://linkedplaces.org/places/cou_275;LIN'ANFU Yunnan (临安);102.822311;23.624552;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9765","names":["LIN'ANFU Yunnan (临安)"]}];;L;PA_1903;
964;0101000020E61000000281CEA44D4259403E0801F912123740;courier;cou_274;NING'ER Yunnan (宁洱);http://linkedplaces.org/places/cou_274;NING'ER Yunnan (宁洱);101.035989;23.070602;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9767","names":["NING'ER Yunnan (宁洱)"]}];;L;PA_1903;
965;0101000020E61000002E56D4601A0F59403CF88903E8DF3A40;courier;cou_289;LIJIANG Yunnan (丽江);http://linkedplaces.org/places/cou_289;LIJIANG Yunnan (丽江);100.235985;26.874634;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9768","names":["LIJIANG Yunnan (丽江)"]}];;B;PA_1903;
966;0101000020E610000082E3326E6A625D405AD427B9C36E4040;courier;cou_655;HAOLIANGYI Anhui (濠梁驿);http://linkedplaces.org/places/cou_655;HAOLIANGYI Anhui (濠梁驿);117.537746;32.865348;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9785","names":["HAOLIANGYI Anhui (濠梁驿)"]}];;N;MDYZK;
967;0101000020E6100000ECA529029C9E5D409432A9A10D584240;courier;cou_640;QINGSHEYI Shandong (青社驿);http://linkedplaces.org/places/cou_640;QINGSHEYI Shandong (青社驿);118.478272;36.687916;[{"uri":"http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9790","names":["QINGSHEYI Shandong (青社驿)"]}];;Y;MDYZK;
