nodeid;names;lng;lat
afr_747;[{"name" : "Pelusium", "id" : "tmcEGm0200_028a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"}];32.516666;31.049999
afr_748;[{"name" : "Leptis Magna", "id" : "tmcEGm0200_014a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"}];14.311667;32.631668
afr_749;[{"name" : "Myos Hormus", "id" : "tmcEGm0200_019a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"}];34.25;26.15
afr_751;[{"name" : "Qusair", "id" : "tmcDZm1300a_005a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Leucos Limen", "id" : "tmcEGm0200_018a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"}];34.283333;26.1
afr_752;[{"name" : "Apollonia", "id" : "tmcEGm0200_005a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"}];21.966667;32.900002
afr_759;[{"name" : "Zawilah Oasis", "id" : "tmcEGm0200_036a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"}];15.116667;26.166668
afr_761;[{"name" : "Ghat", "id" : "tmcDZm0500_0025a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"}];10.183333;24.950001
afr_762;[{"name" : "Ghadames", "id" : "tmcDZm0500_008a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Ghadames", "id" : "tmcDZm1300a_013a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Ghadames", "id" : "tmcDZm1300b_013a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Ghadames Oasis", "id" : "tmcEGm0200_030a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"}];9.5;30.133333
afr_764;[{"name" : "loc33-tmc050223", "id" : "tmcDZm1300a_134a", "country" : "SD", "detail" : "?Luxor", "datastatus" : "exact"},{"name" : "Thebae", "id" : "tmcEGm0200_034a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"}];32.683334;25.700001
afr_765;[{"name" : "Sabrata", "id" : "tmcEGm0200_016a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"}];12.484722;32.791943
afr_767;[{"name" : "Madina", "id" : "tmcDZm1300a_001a", "country" : "SA", "detail" : "nkn", "datastatus" : "exact"}];39.614166;24.468611
afr_771;[{"name" : "Nicopolis", "id" : "tmcEGm0200_006a", "country" : "EG", "detail" : "nkn", "datastatus" : "approx"}];29.95;31.2
afr_774;[{"name" : "Tripoli", "id" : "tmcDZm0500_017a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"}];13.18;32.892502
afr_776;[{"name" : "Aujila", "id" : "tmcDZm1300a_009a", "country" : "EG", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Aujila", "id" : "tmcDZm1300b_005a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Augila Oasis", "id" : "tmcEGm0200_010a", "country" : "LY", "detail" : "nkn", "datastatus" : "exact"}];21.286943;29.108055
afr_777;[{"name" : "Wargla", "id" : "tmcDZm0500_011a", "country" : "DZ", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Wargla Oasis", "id" : "tmcEGm0200_032a", "country" : "DZ", "detail" : "nkn", "datastatus" : "exact"}];5.333333;31.950001
afr_778;[{"name" : "loc02-tmc031216", "id" : "tmcDZm1300a_014a", "country" : "LY", "detail" : "(Waddan?) E Aujila;W Ghadames;NW loc02-tmc031216", "datastatus" : "exact"},{"name" : "loc02-tmc031216", "id" : "tmcDZm1300a_015a", "country" : "TN", "detail" : "Qabis?", "datastatus" : "exact"},{"name" : "loc09-tmc010103", "id" : "tmcEGm0200_030a", "country" : "TN", "detail" : "on rd. Carthago=Sabrata", "datastatus" : "approx"}];10.116667;33.883331
afr_779;[{"name" : "loc06-tmc010103", "id" : "tmcEGm0200_010a", "country" : "LY", "detail" : "on rd. Berenice=Leptis Magna", "datastatus" : "approx"}];19.583332;30.416668
afr_783;[{"name" : "Algiers", "id" : "tmcDZm1300a_018a", "country" : "DZ", "detail" : "nkn", "datastatus" : "exact"}];3.050556;36.763058
afr_786;[{"name" : "Fez", "id" : "tmcDZm1300a_019a", "country" : "MA", "detail" : "nkn", "datastatus" : "exact"},{"name" : "Fes", "id" : "tmcMAm1500_002a", "country" : "MA", "detail" : "nkn", "datastatus" : "exact"}];-4.982778;34.052776
